canonical_id,name,entity_types,city,region,latitude,longitude,n_members,n_sources,sources,member_ids
RYD_002860,Food Corner,place,Riyadh,Riyadh,24.6669023,46.7129918,1,1,riyadh_places_kaggle,places_00096
RYD_002861,Food Corner,place,Riyadh,Riyadh,24.6703098,46.8106825,1,1,riyadh_places_kaggle,places_07753
RYD_002862,Food Corner,place,Riyadh,Riyadh,24.63147086,46.74749935,1,1,riyadh_places_kaggle,places_08169
RYD_002863,Food Dish for Juices,place,Riyadh,Riyadh,24.7638326,46.80193582,1,1,riyadh_places_kaggle,places_05218
RYD_002864,Food House,place,Riyadh,Riyadh,24.62873111,46.74944902,1,1,riyadh_places_kaggle,places_00136
RYD_002865,Food Wow,place,Riyadh,Riyadh,24.5264711,46.6595036,1,1,riyadh_places_kaggle,places_08625
RYD_002866,For vegetables and fruits,place,Riyadh,Riyadh,24.76455849,46.77802357,1,1,riyadh_places_kaggle,places_04812
RYD_002867,Forn 7,place,Riyadh,Riyadh,24.8369522,46.5924546,1,1,riyadh_places_kaggle,places_04683
RYD_002868,Forn Aldar,place,Riyadh,Riyadh,24.7949201,46.6581146,1,1,riyadh_places_kaggle,places_03089
RYD_002869,Forn Nahool,place,Riyadh,Riyadh,24.7070247,46.7853918,1,1,riyadh_places_kaggle,places_05928
RYD_002870,Forn and Jamar,place,Riyadh,Riyadh,24.81198299,46.65709338,1,1,riyadh_places_kaggle,places_03057
RYD_002871,Forno,place,Riyadh,Riyadh,24.7747872,46.825427,1,1,riyadh_places_kaggle,places_06623
RYD_002872,Forsan Groceria,place,Riyadh,Riyadh,24.723884,46.645465,1,1,riyadh_places_kaggle,places_05636
RYD_002873,Forsan Groceria,place,Riyadh,Riyadh,24.799226,46.697707,1,1,riyadh_places_kaggle,places_06476
RYD_002874,Forsan Groceria,place,Riyadh,Riyadh,24.72174,46.788522,1,1,riyadh_places_kaggle,places_07564
RYD_002875,Forsan Kitchen,place,Riyadh,Riyadh,24.5893341,46.67027,1,1,riyadh_places_kaggle,places_02149
RYD_002876,Forsan Kitchen,place,Riyadh,Riyadh,24.799164,46.697721,1,1,riyadh_places_kaggle,places_02523
RYD_002877,Forsan Kitchen,place,Riyadh,Riyadh,24.724047,46.645386,1,1,riyadh_places_kaggle,places_05635
RYD_002878,Forsan Kitchen,place,Riyadh,Riyadh,24.7213346,46.7887527,1,1,riyadh_places_kaggle,places_07568
RYD_002879,Forti Pizzeria,place,Riyadh,Riyadh,24.78526131,46.63412174,1,1,riyadh_places_kaggle,places_03775
RYD_002880,Fortnite Burger,place,Riyadh,Riyadh,24.874975200000005,46.6384301,3,1,riyadh_places_kaggle,places_04476|places_04477|places_04478
RYD_002881,Fotour Zaman,place,Riyadh,Riyadh,24.787661,46.77811416,1,1,riyadh_places_kaggle,places_05890
RYD_002882,Foul Basket Thoughts,place,Riyadh,Riyadh,24.56442273,46.79448853,1,1,riyadh_places_kaggle,places_07821
